Code,Year,Access to electricity (% of population)
ITA,2020,100
JAM,1990,7.03346E+15
JAM,1991,7.72289E+15
JAM,1992,7.80329E+15
JAM,1993,7.88363E+15
JAM,1994,7.96383E+15
JAM,1995,8.04383E+15
JAM,1996,8.5706E+15
JAM,1997,8.20294E+15
JAM,1998,8.28192E+15
JAM,1999,8.45541E+15
JAM,2000,8.43941E+15
JAM,2001,8.77081E+15
JAM,2002,8.66813E+15
JAM,2003,8.66086E+15
JAM,2004,8.73378E+15
JAM,2005,8.80665E+14
JAM,2006,8.87971E+15
JAM,2007,8.95322E+15
JAM,2008,92
JAM,2009,9.10268E+15
JAM,2010,9.22E+15
JAM,2011,9.11E+14
JAM,2012,9.31E+14
JAM,2013,9.39E+14
JAM,2014,9.33E+15
JAM,2015,9.49E+14
JAM,2016,9.6738E+15
JAM,2017,9.76096E+15
JAM,2018,9.84871E+15
JAM,2019,9.93676E+15
JAM,2020,100
JPN,1990,100
JPN,1991,100
JPN,1992,100
JPN,1993,100
JPN,1994,100
JPN,1995,100
JPN,1996,100
JPN,1997,100
JPN,1998,100
JPN,1999,100
JPN,2000,100
JPN,2001,100
JPN,2002,100
JPN,2003,100
JPN,2004,100
JPN,2005,100
JPN,2006,100
JPN,2007,100
JPN,2008,100
JPN,2009,100
JPN,2010,100
JPN,2011,100
JPN,2012,100
JPN,2013,100
JPN,2014,100
JPN,2015,100
JPN,2016,100
JPN,2017,100
JPN,2018,100
JPN,2019,100
JPN,2020,100
JOR,1990,9.68E+15
JOR,1991,9.78547E+15
JOR,1992,9.79749E+15
JOR,1993,9.80944E+14
JOR,1994,9.82125E+14
JOR,1995,9.83286E+15
JOR,1996,9.8442E+15
JOR,1997,9.89E+14
JOR,1998,9.86579E+15
JOR,1999,9.87589E+14
JOR,2000,9.89343E+15
JOR,2001,9.89781E+15
JOR,2002,995
JOR,2003,9.90452E+15
JOR,2004,9.91734E+14
JOR,2005,9.91009E+15
JOR,2006,100
JOR,2007,9.88E+15
JOR,2008,100
JOR,2009,9.94E+14
JOR,2010,100
JOR,2011,9.96516E+15
JOR,2012,995
JOR,2013,9.97014E+14
JOR,2014,9.97485E+15
JOR,2015,9.98982E+14
JOR,2016,9.99588E+15
JOR,2017,100
JOR,2018,9.99E+14
JOR,2019,100
JOR,2020,9.99E+14
KAZ,1995,9.99E+14
KAZ,1996,9.91921E+14
KAZ,1997,9.92695E+15
KAZ,1998,9.93428E+14
KAZ,1999,97
KAZ,2000,9.95096E+15
KAZ,2001,9.965E+14
KAZ,2002,9.981E+15
KAZ,2003,9.992E+15
KAZ,2004,9.996E+15
KAZ,2005,100
KAZ,2006,9.97665E+15
KAZ,2007,100
KAZ,2008,100
KAZ,2009,100
KAZ,2010,100
KAZ,2011,9.97975E+15
KAZ,2012,100
KAZ,2013,100
KAZ,2014,100
KAZ,2015,100
KAZ,2016,100
KAZ,2017,100
KAZ,2018,100
KAZ,2019,100
KAZ,2020,100
KEN,1993,1.09E+16
KEN,1994,3.47344E+16
KEN,1995,5.42734E+15
KEN,1996,7.37853E+15
KEN,1997,9.32632E+14
KEN,1998,145
KEN,1999,1.32089E+16
KEN,2000,1.51312E+16
KEN,2001,1.70331E+16
KEN,2002,1.89274E+16
KEN,2003,16
KEN,2004,2.27027E+16
KEN,2005,2.45884E+15
KEN,2006,2.64759E+16
KEN,2007,2.8368E+15
KEN,2008,3.02673E+16
KEN,2009,23
KEN,2010,1.92E+16
KEN,2011,3.60357E+14
KEN,2012,3.7991E+13
KEN,2013,3.99661E+15
KEN,2014,36
KEN,2015,4.16E+16
KEN,2016,5.31E+16
KEN,2017,5.59764E+16
KEN,2018,6.12846E+15
KEN,2019,6.97E+15
KEN,2020,7.14379E+15
KIR,2000,5.51249E+15
KIR,2001,5.6919E+15
KIR,2002,5.87056E+12
KIR,2003,6.04869E+15
KIR,2004,6.22653E+16
KIR,2005,6.96764E+15
KIR,2006,6.88E+15
KIR,2007,6.76072E+15
KIR,2008,6.93987E+15
KIR,2009,6.419E+15
KIR,2010,6.31677E+14
KIR,2011,7.48437E+15
KIR,2012,7.66913E+14
KIR,2013,7.89311E+15
KIR,2014,8.34539E+15
KIR,2015,9.05582E+15
KIR,2016,9.27996E+15
KIR,2017,8.61764E+15
KIR,2018,8.81032E+15
KIR,2019,9.00329E+15
KIR,2020,9.1963E+15
OWID_KOS,1990,100
OWID_KOS,1991,100
OWID_KOS,1992,100
OWID_KOS,1993,100
OWID_KOS,1994,100
OWID_KOS,1995,100
OWID_KOS,1996,100
OWID_KOS,1997,100
OWID_KOS,1998,100
OWID_KOS,1999,100
OWID_KOS,2010,99
OWID_KOS,2012,9975
OWID_KOS,2013,9975
OWID_KOS,2014,9.968E+15
OWID_KOS,2015,9.986E+15
OWID_KOS,2016,9.98E+15
OWID_KOS,2017,9.98E+15
OWID_KOS,2019,100
KWT,1990,100
KWT,1991,100
KWT,1992,100
KWT,1993,100
KWT,1994,100
KWT,1995,100
KWT,1996,100
KWT,1997,100
KWT,1998,100
KWT,1999,100
KWT,2000,100
KWT,2001,100
KWT,2002,100
KWT,2003,100
KWT,2004,100
KWT,2005,100
KWT,2006,100
KWT,2007,100
KWT,2008,100
KWT,2009,100
KWT,2010,100
KWT,2011,100
KWT,2012,100
KWT,2013,100
KWT,2014,100
KWT,2015,100
KWT,2016,100
KWT,2017,100
KWT,2018,100
KWT,2019,100
KWT,2020,100
KGZ,1997,9.98E+15
KGZ,1998,9.95538E+15
KGZ,1999,9.95656E+15
KGZ,2000,9.96102E+15
KGZ,2001,9.9581E+15
KGZ,2002,100
KGZ,2003,9.95021E+15
KGZ,2004,9.94572E+15
KGZ,2005,9.94423E+15
KGZ,2006,9.889E+15
KGZ,2007,9.954E+15
KGZ,2008,9.951E+15
KGZ,2009,995
KGZ,2010,99
KGZ,2011,9.832E+15
KGZ,2012,9.98E+15
KGZ,2013,9.893E+15
KGZ,2014,9.98E+15
KGZ,2015,9.869E+15
KGZ,2016,9.971E+15
KGZ,2017,100
KGZ,2018,100
KGZ,2019,9.98742E+15
KGZ,2020,9.9981E+15
LAO,1993,31
LAO,1994,2.56058E+16
LAO,1995,25
LAO,1996,3.12477E+16
LAO,1997,3.40639E+15
LAO,1998,3.6876E+15
LAO,1999,3.96833E+16
LAO,2000,4.24961E+15
LAO,2001,4.52667E+15
LAO,2002,4.63E+15
LAO,2003,48
LAO,2004,5.35423E+15
LAO,2005,5.72E+15
LAO,2006,5.70411E+15
LAO,2007,5.496E+16
LAO,2008,66
LAO,2009,6.73594E+14
LAO,2010,7.01499E+15
LAO,2011,70
LAO,2012,7.63666E+15
LAO,2013,7.95763E+15
LAO,2014,8.3134E+15
LAO,2015,8.97E+15
LAO,2016,9.05495E+15
LAO,2017,9.36E+14
LAO,2018,9.77972E+15
LAO,2019,9.90921E+15
LAO,2020,100
,1992,8.8767E+15
,1993,8.93779E+15
,1994,9.02709E+14
,1995,8.86221E+14
,1996,8.9578E+15
,1997,9.00327E+15
,1998,9.06468E+15
,1999,9.12559E+15
,2000,9.17392E+15
,2001,9.23537E+14
,2002,9.26556E+15
,2003,9.27476E+14
,2004,9.32348E+15
,2005,9.3565E+15
,2006,9.42776E+13
,2007,9.45023E+15
,2008,9.52364E+15
,2009,9.53834E+14
,2010,9.58559E+15
,2011,9.61816E+15
,2012,9.65613E+15
,2013,9.68406E+15
,2014,9.70305E+15
,2015,9.72813E+15
,2016,9.7484E+15
,2017,9.77351E+13
,2018,9.78023E+14
,2019,9.8094E+15
,2020,9.85161E+15
LVA,1990,100
LVA,1991,100
LVA,1992,100
LVA,1993,100
LVA,1994,100
LVA,1995,100
LVA,1996,100
LVA,1997,100
LVA,1998,100
LVA,1999,100
LVA,2000,100
LVA,2001,100
LVA,2002,100
LVA,2003,100
LVA,2004,100
LVA,2005,100
LVA,2006,100
LVA,2007,100
LVA,2008,100
LVA,2009,100
LVA,2010,100
LVA,2011,100
LVA,2012,100
LVA,2013,100
LVA,2014,100
LVA,2015,100
LVA,2016,100
LVA,2017,100
LVA,2018,100
LVA,2019,100
LVA,2020,100
LBN,2000,9.93516E+15
LBN,2001,9.93466E+15
LBN,2002,9.9334E+15
LBN,2003,9.93161E+15
LBN,2004,9.99E+14
LBN,2005,9.92741E+15
LBN,2006,9.93838E+15
LBN,2007,9.78E+15
LBN,2008,9.99E+14
LBN,2009,9.92345E+15
LBN,2010,9.94744E+15
LBN,2011,9.9684E+15
LBN,2012,9.95068E+15
LBN,2013,9.94955E+15
LBN,2014,9.94823E+14
LBN,2015,9.95832E+15
LBN,2016,9.97256E+15
LBN,2017,9.98798E+15
LBN,2018,9.97E+15
LBN,2019,9.99749E+15
LBN,2020,100
LSO,2000,4.25876E+14
LSO,2001,1.25227E+16
LSO,2002,3.36166E+16
LSO,2003,5.46581E+15
LSO,2004,6.8E+15
LSO,2005,9.66781E+15
LSO,2006,9.7E+15
LSO,2007,1.38775E+16
LSO,2008,1.59919E+16
LSO,2009,17
LSO,2010,17
LSO,2011,2.24054E+16
LSO,2012,2.056E+16
LSO,2013,2.6766E+16
LSO,2014,2.78E+16
LSO,2015,3.16773E+15
LSO,2016,3.50716E+16
LSO,2017,3.37E+15
LSO,2018,47
LSO,2019,4.45002E+15
LSO,2020,4.73527E+15
LBR,2007,3
LBR,2008,1.27929E+16
LBR,2009,1.9E+15
LBR,2010,5.16266E+15
LBR,2011,4.1E+15
LBR,2012,9.10747E+14
LBR,2013,9.8E+15
LBR,2014,9.4E+15
LBR,2015,1.51617E+16
LBR,2016,1.77E+16
LBR,2017,2.42E+16
LBR,2018,2.28791E+16
LBR,2019,2.31E+16
LBR,2020,2.75347E+16
LBY,2000,9.98E+15
LBY,2001,9.71471E+15
LBY,2002,9.54234E+15
LBY,2003,9.36944E+15
LBY,2004,9.19626E+15
LBY,2005,9.02303E+15
LBY,2006,8.84998E+15
LBY,2007,8.67739E+15
LBY,2008,8.50551E+15
LBY,2009,8.33464E+15
LBY,2010,8.16502E+15
LBY,2011,7.99695E+15
LBY,2012,7.83067E+15
LBY,2013,7.66639E+15
LBY,2014,7.50388E+15
LBY,2015,7.34286E+15
LBY,2016,7.18302E+14
LBY,2017,7.02408E+15
LBY,2018,67
LBY,2019,6.86424E+15
LBY,2020,6.97074E+15
LIE,1990,100
LIE,1991,100
LIE,1992,100
LIE,1993,100
LIE,1994,100
LIE,1995,100
LIE,1996,100
LIE,1997,100
LIE,1998,100
LIE,1999,100
LIE,2000,100
LIE,2001,100
LIE,2002,100
LIE,2003,100
LIE,2004,100
LIE,2005,100
LIE,2006,100
LIE,2007,100
LIE,2008,100
LIE,2009,100
LIE,2010,100
LIE,2011,100
LIE,2012,100
LIE,2013,100
LIE,2014,100
LIE,2015,100
LIE,2016,100
LIE,2017,100
LIE,2018,100
LIE,2019,100
LIE,2020,100
LTU,1990,100
LTU,1991,100
LTU,1992,100
LTU,1993,100
LTU,1994,100
LTU,1995,100
LTU,1996,100
LTU,1997,100
LTU,1998,100
LTU,1999,100
LTU,2000,100
LTU,2001,100
LTU,2002,100
LTU,2003,100
LTU,2004,100
LTU,2005,100
LTU,2006,100
LTU,2007,100
LTU,2008,100
LTU,2009,100
LTU,2010,100
LTU,2011,100
LTU,2012,100
LTU,2013,100
LTU,2014,100
LTU,2015,100
LTU,2016,100
LTU,2017,100
LTU,2018,100
LTU,2019,100
LTU,2020,100
,2000,7.35314E+15
,2001,7.31386E+15
,2002,7.49455E+15
,2003,7.57162E+15
,2004,7.59929E+15
,2005,7.66192E+14
,2006,7.74945E+14
,2007,7.81149E+15
,2008,7.8889E+15
,2009,7.93687E+15
,2010,7.98396E+14
,2011,7.85993E+15
,2012,8.17089E+15
,2013,8.23299E+15
,2014,8.28332E+15
,2015,8.40145E+14
,2016,8.53216E+15
,2017,8.64115E+14
,2018,8.75814E+15
,2019,8.81269E+15
,2020,8.87439E+15
,2000,1.55806E+16
,2001,1.62035E+16
,2002,1.69562E+15
,2003,1.87211E+16
,2004,1.95953E+16
,2005,1.93724E+16
,2006,2.14866E+16
,2007,2.33475E+16
,2008,2.30425E+15
,2009,2.45311E+15
,2010,2.6207E+14
,2011,2.67254E+16
,2012,2.9728E+16
,2013,3.0753E+15
,2014,3.23031E+16
,2015,3.20804E+16
,2016,3.72825E+16
,2017,3.88378E+16
,2018,4.05554E+15
,2019,4.14347E+16
,2020,4.29457E+16
,1993,4.98018E+16
,1994,5.04746E+16
,1995,5.19164E+16
,1996,5.38177E+15
,1997,5.67177E+15
,1998,5.89715E+15
,1999,6.15644E+16
,2000,6.2206E+15
,2001,6.1169E+15
,2002,6.47115E+15
,2003,6.60961E+15
,2004,6.65903E+14
,2005,6.79487E+15
,2006,6.94567E+15
,2007,7.06993E+15
,2008,7.23114E+15
,2009,7.35186E+15
,2010,7.40483E+14
,2011,7.16091E+15
,2012,7.72846E+15
,2013,7.84655E+15
,2014,7.93301E+15
,2015,8.20748E+15
,2016,8.36351E+15
,2017,8.55907E+14
,2018,8.7767E+15
,2019,8.87872E+15
,2020,8.98438E+15
LUX,1990,100
LUX,1991,100
LUX,1992,100
LUX,1993,100
LUX,1994,100
LUX,1995,100
LUX,1996,100
LUX,1997,100
LUX,1998,100
LUX,1999,100
LUX,2000,100
LUX,2001,100
LUX,2002,100
LUX,2003,100
LUX,2004,100
LUX,2005,100
LUX,2006,100
LUX,2007,100
LUX,2008,100
LUX,2009,100
LUX,2010,100
LUX,2011,100
LUX,2012,100
LUX,2013,100
LUX,2014,100
LUX,2015,100
LUX,2016,100
LUX,2017,100
LUX,2018,100
LUX,2019,100
LUX,2020,100
MAC,1990,9.98493E+15
MAC,1991,9.98806E+15
MAC,1992,9.99114E+15
MAC,1993,9.99416E+15
MAC,1994,100
MAC,1995,100
MAC,1996,100
MAC,1997,100
MAC,1998,100
MAC,1999,100
MAC,2000,100
MAC,2001,100
MAC,2002,100
MAC,2003,100
MAC,2004,100
MAC,2005,100
MAC,2006,100
MAC,2007,100
MAC,2008,100
MAC,2009,100
MAC,2010,100
MAC,2011,100
MAC,2012,100
MAC,2013,100
MAC,2014,100
MAC,2015,100
MAC,2016,100
MAC,2017,100
MAC,2018,100
MAC,2019,100
MAC,2020,100
MDG,1992,9.2E+15
MDG,1993,1.01056E+16
MDG,1994,1.05616E+15
MDG,1995,1.10156E+16
MDG,1996,1.14669E+16
MDG,1997,1.09E+16
MDG,1998,1.23586E+15
MDG,1999,1.27975E+16
MDG,2000,1.27242E+16
MDG,2001,1.48E+16
MDG,2002,1.40466E+16
MDG,2003,2.03E+16
MDG,2004,1.5348E+16
MDG,2005,1.59968E+16
MDG,2006,1.66474E+16
MDG,2007,1.73025E+15
MDG,2008,1.79649E+16
MDG,2009,1.74E+16
MDG,2010,1.23E+16
MDG,2011,1.43E+16
MDG,2012,1.87E+16
MDG,2013,1.29E+16
MDG,2014,2.22351E+15
MDG,2015,2.30059E+15
MDG,2016,2.29E+16
MDG,2017,2.41E+16
MDG,2018,365
MDG,2019,3.104E+16
MDG,2020,3.37351E+16
MWI,1992,3.2E+15
MWI,1993,1.55356E+16
MWI,1994,2.01366E+16
MWI,1995,2.47173E+15
MWI,1996,2.92707E+16
MWI,1997,3.37902E+16
MWI,1998,3.82689E+15
MWI,1999,4.26991E+16
MWI,2000,4.8E+15
MWI,2001,5.13952E+15
MWI,2002,5.53416E+16
MWI,2003,6.2E+15
MWI,2004,6.9E+15
MWI,2005,6.69606E+15
MWI,2006,3.65323E+16
MWI,2007,7.47629E+15
MWI,2008,7.8759E+15
MWI,2009,8.28544E+15
MWI,2010,8.7E+15
MWI,2011,7.6E+15
MWI,2012,7.4E+15
MWI,2013,9
MWI,2014,1.19E+16
MWI,2015,1.08E+16
MWI,2016,11
MWI,2017,1.27E+16
MWI,2018,1.802E+16
MWI,2019,1.12E+16
MWI,2020,1.48668E+16
MYS,2000,9.9104E+15
MYS,2001,9.91257E+15
MYS,2002,9.91398E+15
MYS,2003,9.91487E+14
MYS,2004,9.91547E+15
MYS,2005,9.91601E+15
MYS,2006,9.91674E+15
MYS,2007,9.91793E+15
MYS,2008,9.91984E+14
MYS,2009,9.93E+15
MYS,2010,9.93741E+15
MYS,2011,9.94655E+15
MYS,2012,9.98E+15
MYS,2013,9.96044E+15
MYS,2014,9.96509E+15
MYS,2015,9.97788E+15
MYS,2016,9.99E+14
MYS,2017,9.99525E+15
MYS,2018,9.99922E+15
MYS,2019,100
MYS,2020,100
MDV,2000,8.38E+15
MDV,2001,8.74863E+15
MDV,2002,8.83575E+15
MDV,2003,8.92235E+15
MDV,2004,9.00865E+14
MDV,2005,9.09491E+15
MDV,2006,9.18135E+15
MDV,2007,9.26824E+15
MDV,2008,9.35586E+15
MDV,2009,9.99E+14
MDV,2010,9.91569E+14
MDV,2011,9.92773E+15
MDV,2012,9.93867E+15
MDV,2013,9.94742E+15
MDV,2014,100
MDV,2015,9.97065E+15
MDV,2016,100
MDV,2017,9.98E+15
MDV,2018,100
MDV,2019,100
MDV,2020,100
MLI,1996,6.2E+15
MLI,1997,4.28854E+15
MLI,1998,6.06686E+15
MLI,1999,7.84034E+15
MLI,2000,9.5932E+15
MLI,2001,1.08E+16
MLI,2002,1.30598E+16
MLI,2003,1.4784E+16
MLI,2004,1.65054E+16
MLI,2005,1.82262E+16
MLI,2006,1.66E+16
MLI,2007,2.16762E+16
MLI,2008,2.34106E+16
MLI,2009,2.40309E+16
MLI,2010,2.69121E+16
MLI,2011,2.86845E+14
MLI,2012,2.56E+16
MLI,2013,3.22852E+15
MLI,2014,3.41133E+16
MLI,2015,3.76E+16
MLI,2016,3.87898E+15
MLI,2017,3.478E+16
MLI,2018,5.09E+16
MLI,2019,4.78363E+15
MLI,2020,5.05614E+15
MLT,1990,100
MLT,1991,100
MLT,1992,100
MLT,1993,100
MLT,1994,100
MLT,1995,100
MLT,1996,100
MLT,1997,100
MLT,1998,100
MLT,1999,100
MLT,2000,100
MLT,2001,100
MLT,2002,100
MLT,2003,100
MLT,2004,100
MLT,2005,100
MLT,2006,100
MLT,2007,100
MLT,2008,100
MLT,2009,100
MLT,2010,100
MLT,2011,100
MLT,2012,100
MLT,2013,100
MLT,2014,100
MLT,2015,100
MLT,2016,100
MLT,2017,100
MLT,2018,100
MLT,2019,100
MLT,2020,100
MHL,1999,6.85242E+15
MHL,2000,6.8478E+15
MHL,2001,6.99643E+15
MHL,2002,7.14431E+14
MHL,2003,7.29166E+14
MHL,2004,7.43873E+15
MHL,2005,7.58574E+15
MHL,2006,7.73294E+14
MHL,2007,7.23E+15
MHL,2008,8.02896E+15
MHL,2009,8.17833E+15
MHL,2010,8.92339E+12
MHL,2011,8.99196E+15
MHL,2012,9.05608E+15
MHL,2013,9.11969E+15
MHL,2014,9.18209E+15
MHL,2015,9.25263E+15
MHL,2016,9.33688E+15
MHL,2017,9.42973E+15
MHL,2018,9.59163E+15
MHL,2019,9.75382E+15
MHL,2020,9.91606E+15
MRT,2000,1.87461E+16
MRT,2001,2.22E+16
MRT,2002,2.15032E+16
MRT,2003,2.28727E+15
MRT,2004,2.42394E+16
MRT,2005,1.82E+16
MRT,2006,2.69734E+15
MRT,2007,3.30405E+14
MRT,2008,30
MRT,2009,3.11153E+16
MRT,2010,3.39595E+15
MRT,2011,3.51663E+15
MRT,2012,3.63622E+16
MRT,2013,3.75361E+15
MRT,2014,3.88E+15
MRT,2015,395
MRT,2016,4.13216E+16
MRT,2017,4.29E+16
MRT,2018,4.43121E+16
MRT,2019,4.583E+15
MRT,2020,4.73484E+16
MUS,1990,9.90416E+15
MUS,1991,9.90707E+14
MUS,1992,9.90997E+15
MUS,1993,9.9128E+15
MUS,1994,9.9155E+15
MUS,1995,9.91799E+15
MUS,1996,9.92021E+15
MUS,1997,9.92209E+15
MUS,1998,9.92356E+14
MUS,1999,9.92455E+14
MUS,2000,99
MUS,2001,9.92647E+15
MUS,2002,9.94E+14
MUS,2003,9.91855E+15
MUS,2004,9.91404E+15
MUS,2005,9.90948E+15
MUS,2006,9.9051E+15
MUS,2007,9.90117E+14
MUS,2008,9.89797E+15
MUS,2009,9.89576E+15
MUS,2010,9.969E+15
MUS,2011,9.96E+14
MUS,2012,9.95686E+15
MUS,2013,9.94805E+15
MUS,2014,9.93804E+12
MUS,2015,9.93616E+15
MUS,2016,9.948E+15
MUS,2017,9.961E+15
MUS,2018,9.94488E+15
MUS,2019,100
MUS,2020,9.96617E+15
MEX,1992,9.3146E+15
MEX,1993,9.54485E+14
MEX,1994,9.52383E+15
MEX,1995,9.58945E+15
MEX,1996,9.60936E+15
MEX,1997,9.63296E+15
MEX,1998,9.60928E+15
MEX,1999,9.67483E+15
MEX,2000,9.80071E+15
MEX,2001,9.71383E+15
MEX,2002,9.78971E+15
MEX,2003,9.74009E+14
MEX,2004,9.85977E+15
MEX,2005,9.89327E+15
MEX,2006,9.91142E+14
MEX,2007,9.79106E+15
MEX,2008,9.8914E+14
MEX,2009,9.81982E+15
MEX,2010,9.92367E+14
MEX,2011,9.90282E+15
MEX,2012,9.91116E+15
MEX,2013,9.91477E+15
MEX,2014,9.91729E+15
MEX,2015,99
MEX,2016,995
MEX,2017,100
MEX,2018,995
MEX,2019,9.96E+14
MEX,2020,9.94E+14
FSM,2000,46
FSM,2001,4.83375E+16
FSM,2002,5.01E+16
FSM,2003,5.18574E+16
FSM,2004,5.36118E+15
FSM,2005,5.53657E+16
FSM,2006,5.71215E+16
FSM,2007,5.88818E+15
FSM,2008,6.06493E+15
FSM,2009,6.24268E+15
FSM,2010,6.45315E+14
FSM,2011,6.6594E+15
FSM,2012,6.84324E+15
FSM,2013,7.02488E+15
FSM,2014,7.20532E+14
FSM,2015,7.39391E+15
FSM,2016,7.5962E+14
FSM,2017,7.79439E+15
FSM,2018,7.97029E+15
FSM,2019,8.12767E+14
FSM,2020,8.29259E+15
,2000,9.25163E+14
,2001,9.27268E+15
,2002,9.26502E+15
,2003,9.34819E+15
,2004,9.34149E+15
,2005,9.40428E+15
,2006,9.59505E+15
,2007,9.42322E+15
,2008,9.48055E+15
,2009,9.49072E+15
,2010,9.57447E+15
,2011,9.57978E+15
,2012,9.53841E+15
,2013,9.70777E+15
,2014,9.60741E+15
,2015,9.65219E+15
,2016,9.68283E+14
,2017,9.76874E+14
,2018,9.62831E+15
,2019,9.72309E+15
,2020,9.73559E+14
,2000,7.79645E+15
,2001,7.75653E+14
,2002,7.95472E+15
,2003,8.0319E+14
,2004,8.06286E+15
,2005,8.14082E+15
,2006,8.23517E+15
,2007,8.2988E+15
,2008,8.39469E+14
,2009,8.46805E+15
,2010,8.5113E+15
,2011,8.37756E+13
,2012,8.69652E+15
,2013,8.76152E+15
,2014,8.80813E+15
,2015,8.94839E+15
,2016,9.04533E+14
,2017,9.15672E+14
,2018,9.2757E+15
,2019,9.3346E+15
,2020,9.39501E+15
MDA,1990,100
MDA,1991,100
MDA,1992,100
MDA,1993,100
MDA,1994,100
MDA,1995,100
MDA,1996,100
MDA,1997,100
MDA,1998,100
MDA,1999,100
MDA,2000,100
MDA,2001,100
MDA,2002,99
MDA,2003,100
MDA,2004,9.91E+14
MDA,2005,9.86E+14
MDA,2006,100
MDA,2007,100
MDA,2008,100
MDA,2009,100
MDA,2010,100
MDA,2011,100
MDA,2012,100
MDA,2013,100
MDA,2014,100
MDA,2015,100
MDA,2016,100
MDA,2017,9.998E+14
MDA,2018,9.999E+15
MDA,2019,100
MDA,2020,100
MCO,1990,100
MCO,1991,100
MCO,1992,100
MCO,1993,100
MCO,1994,100
MCO,1995,100
MCO,1996,100
MCO,1997,100
MCO,1998,100
MCO,1999,100
MCO,2000,100
MCO,2001,100
MCO,2002,100
MCO,2003,100
MCO,2004,100
MCO,2005,100
MCO,2006,100
MCO,2007,100
MCO,2008,100
MCO,2009,100
MCO,2010,100
MCO,2011,100
MCO,2012,100
MCO,2013,100
MCO,2014,100
MCO,2015,100
MCO,2016,100
MCO,2017,100
MCO,2018,100
MCO,2019,100
MCO,2020,100
MNG,2000,6.73E+15
MNG,2001,7.10766E+15
MNG,2002,7.22845E+15
MNG,2003,7.63E+15
MNG,2004,7.46869E+14
MNG,2005,8.62E+15
MNG,2006,7.70872E+15
MNG,2007,7.82928E+14
MNG,2008,7.95057E+15
MNG,2009,8.07285E+15
MNG,2010,7.85021E+15
MNG,2011,7.20571E+15
MNG,2012,8.44836E+15
MNG,2013,8.12E+15
MNG,2014,8.70788E+15
MNG,2015,8.84002E+15
MNG,2016,8.98384E+15
MNG,2017,9.25126E+15
MNG,2018,9.81E+14
MNG,2019,9.72299E+15
MNG,2020,9.81E+14
MNE,1990,100
MNE,1991,100
MNE,1992,100
MNE,1993,100
MNE,1994,100
MNE,1995,100
MNE,1996,100
MNE,1997,100
MNE,1998,100
MNE,1999,100
MNE,2000,100
MNE,2001,100
MNE,2002,100
MNE,2003,100
MNE,2004,100
MNE,2005,9.98302E+14
MNE,2006,100
MNE,2007,100
MNE,2008,100
MNE,2009,100
MNE,2010,100
MNE,2011,99
MNE,2012,100
MNE,2013,9.97E+15
MNE,2014,9.77E+15
MNE,2015,100
MNE,2016,100
MNE,2017,100
MNE,2018,100
MNE,2019,100
MNE,2020,100
MAR,1992,4.92E+15
MAR,1993,5.67727E+15
MAR,1994,5.86089E+14
MAR,1995,565
MAR,1996,6.22746E+16
MAR,1997,6.41027E+14
MAR,1998,6.59267E+15
MAR,1999,6.77459E+15
MAR,2000,6.95674E+11
MAR,2001,7.13479E+13
MAR,2002,7.31208E+15
MAR,2003,7.48885E+14
MAR,2004,7.82E+15
MAR,2005,7.84176E+15
MAR,2006,965
MAR,2007,8.19544E+15
MAR,2008,8.37323E+15
MAR,2009,8.55202E+14
MAR,2010,9.26714E+15
MAR,2011,9.34464E+14
MAR,2012,9.42105E+15
MAR,2013,9.72E+15
MAR,2014,9.16E+14
MAR,2015,9.73E+15
MAR,2016,9.78E+15
MAR,2017,100
MAR,2018,9.81E+14
MAR,2019,9.96E+14
MAR,2020,100
MOZ,1997,6.6E+15
MOZ,1998,3.66318E+15
MOZ,1999,4.87912E+15
MOZ,2000,6.09631E+15
MOZ,2001,5.7E+15
MOZ,2002,8.44392E+15
MOZ,2003,8.1E+15
MOZ,2004,1.07706E+16
MOZ,2005,1.19319E+16
MOZ,2006,1.30952E+16
MOZ,2007,1.24E+16
MOZ,2008,1.35712E+16
MOZ,2009,15
MOZ,2010,1.88027E+16
MOZ,2011,2.02E+16
MOZ,2012,2.12326E+16
MOZ,2013,2.24201E+16
MOZ,2014,2.48E+16
MOZ,2015,24
MOZ,2016,2.62465E+15
MOZ,2017,2.43E+16
MOZ,2018,3.11E+16
MOZ,2019,2.96744E+16
MOZ,2020,3.06038E+16
MMR,2000,4.18338E+15
MMR,2001,4.29419E+16
MMR,2002,47
MMR,2003,4.51377E+15
MMR,2004,4.62301E+15
MMR,2005,4.7322E+16
MMR,2006,4.84157E+15
MMR,2007,4.9514E+15
MMR,2008,5.06195E+16
MMR,2009,5.17349E+15
MMR,2010,4.88E+15
MMR,2011,5.40064E+15
MMR,2012,5.51679E+15
MMR,2013,5.63493E+16
MMR,2014,52
MMR,2015,605
MMR,2016,5.56E+16
MMR,2017,6.98148E+15
MMR,2018,6.62273E+15
MMR,2019,6.83585E+15
MMR,2020,7.03972E+14
NAM,1992,2.64E+16
NAM,1993,27
NAM,1994,2.89326E+16
NAM,1995,2.99521E+11
NAM,1996,3.0969E+14
NAM,1997,3.19824E+15
NAM,1998,3.29918E+16
NAM,1999,3.39963E+15
NAM,2000,365
NAM,2001,3.59669E+16
NAM,2002,3.69255E+15
NAM,2003,3.78789E+15
NAM,2004,3.88293E+16
NAM,2005,39779296875
NAM,2006,4.07311E+15
NAM,2007,4.37E+15
NAM,2008,4.26511E+15
